subject,solution,lick_count_mean,lick_count_total
abb01,nacl000,17.27,1727
abb01,nacl025,12.64,1264
abb01,nacl050,11.29,1129
abb01,nacl100,3.71,371
abb01,nacl150,1.5,150
abb03,nacl000,16.46,1646
abb03,nacl025,12.34,1234
abb03,nacl050,8.24,824
abb03,nacl100,3.81,381
abb03,nacl150,1.97,197
abb04,nacl000,20.99,2099
abb04,nacl025,14.97,1497
abb04,nacl050,10.3,1030
abb04,nacl100,3.01,301
abb04,nacl150,2.25,225
abb05,nacl000,16.81,1681
abb05,nacl025,10.35,1035
abb05,nacl050,8.23,823
abb05,nacl100,2.48,248
abb05,nacl150,1.98,198
abb06,nacl000,10.93,1093
abb06,nacl025,5.96,596
abb06,nacl050,5.34,534
abb06,nacl100,1.56,156
abb06,nacl150,1.88,188
abb07,nacl000,19.89,1989
abb07,nacl025,13.7,1370
abb07,nacl050,7.57,757
abb07,nacl100,2.71,271
abb07,nacl150,1.36,136
abb08,nacl000,19.15,1915
abb08,nacl025,11.53,1153
abb08,nacl050,9.68,968
abb08,nacl100,3.25,325
abb08,nacl150,1.25,125
abb09,nacl000,16.2,1620
abb09,nacl025,15.42,1542
abb09,nacl050,6.64,664
abb09,nacl100,3.06,306
abb09,nacl150,1.46,146
abb10,nacl000,21.22,2122
abb10,nacl025,15.91,1591
abb10,nacl050,9.38,938
abb10,nacl100,3.13,313
abb10,nacl150,1.25,125
abb11,nacl000,19.28,1928
abb11,nacl025,12.71,1271
abb11,nacl050,7.93,793
abb11,nacl100,3.66,366
abb11,nacl150,1.22,122
abb12,nacl000,16.37,1637
abb12,nacl025,10.84,1084
abb12,nacl050,7.22,722
abb12,nacl100,2.93,293
abb12,nacl150,1.55,155
