blockname,trial_start_ts,trial_num,spout,trial_num_tastant,lick_count,lick_ts_first,lick_ts_last,lick_ili_mean,trial_lick,experiment,cohort,date,solution,solution_type,solution_value,subject,procedure,day
2022_05_09_abb01,9046,1,spout04,1,2,478,640,162,1,abb,1,5/9/2022,nacl150,nacl,1.5,abb01,multi_nacl,19
2022_05_09_abb01,20482,2,spout05,1,17,378,2852,154.625,1,abb,1,5/9/2022,nacl050,nacl,0.5,abb01,multi_nacl,19
2022_05_09_abb01,32021,3,spout02,1,7,157,1355,199.66666666666666,1,abb,1,5/9/2022,nacl100,nacl,1,abb01,multi_nacl,19
2022_05_09_abb01,43498,4,spout01,1,20,177,2912,143.94736842105263,1,abb,1,5/9/2022,nacl025,nacl,0.25,abb01,multi_nacl,19
2022_05_09_abb01,56591,5,spout01,2,19,331,2966,146.38888888888889,1,abb,1,5/9/2022,nacl025,nacl,0.25,abb01,multi_nacl,19
2022_05_09_abb01,69446,6,spout04,2,0,NA,NA,NA,0,abb,1,5/9/2022,nacl150,nacl,1.5,abb01,multi_nacl,19
2022_05_09_abb01,84146,7,spout02,2,12,375,2815,221.8181818181818,1,abb,1,5/9/2022,nacl100,nacl,1,abb01,multi_nacl,19
2022_05_09_abb01,96211,8,spout03,1,18,150,2689,149.35294117647058,1,abb,1,5/9/2022,nacl000,nacl,0,abb01,multi_nacl,19
2022_05_09_abb01,107851,9,spout05,2,21,137,2932,139.75,1,abb,1,5/9/2022,nacl050,nacl,0.5,abb01,multi_nacl,19
2022_05_09_abb01,121584,10,spout03,2,18,233,2601,139.2941176470588,1,abb,1,5/9/2022,nacl000,nacl,0,abb01,multi_nacl,19
2022_05_09_abb01,133582,11,spout04,3,0,NA,NA,NA,0,abb,1,5/9/2022,nacl150,nacl,1.5,abb01,multi_nacl,19
2022_05_09_abb01,145782,12,spout04,4,0,NA,NA,NA,0,abb,1,5/9/2022,nacl150,nacl,1.5,abb01,multi_nacl,19
2022_05_09_abb01,159235,13,spout02,3,15,287,2348,147.21428571428572,1,abb,1,5/9/2022,nacl100,nacl,1,abb01,multi_nacl,19
2022_05_09_abb01,173800,14,spout03,3,19,193,2833,146.66666666666666,1,abb,1,5/9/2022,nacl000,nacl,0,abb01,multi_nacl,19
2022_05_09_abb01,185264,15,spout01,3,20,140,2997,150.3684210526316,1,abb,1,5/9/2022,nacl025,nacl,0.25,abb01,multi_nacl,19
2022_05_09_abb01,201259,16,spout05,3,18,177,2906,160.52941176470588,1,abb,1,5/9/2022,nacl050,nacl,0.5,abb01,multi_nacl,19
2022_05_09_abb01,213227,17,spout05,4,21,137,2951,140.7,1,abb,1,5/9/2022,nacl050,nacl,0.5,abb01,multi_nacl,19
2022_05_09_abb01,225401,18,spout03,4,18,137,2776,155.23529411764707,1,abb,1,5/9/2022,nacl000,nacl,0,abb01,multi_nacl,19
2022_05_09_abb01,241399,19,spout02,4,9,145,1671,190.75,1,abb,1,5/9/2022,nacl100,nacl,1,abb01,multi_nacl,19
