blockname,date,event_key,id_type,access_time,inter_sol_time,num_sol,session_retract,subject,procedure,day
2022_05_09_abb01,2022_05_09,1,param,3000,180,5,1,abb01,multi_nacl,19
2022_05_09_abb03,2022_05_09,1,param,3000,180,5,1,abb03,multi_nacl,19
2022_05_09_abb04,2022_05_09,1,param,3000,180,5,1,abb04,multi_nacl,19
2022_05_09_abb05,2022_05_09,1,param,3000,180,5,1,abb05,multi_nacl,19
2022_05_09_abb06,2022_05_09,1,param,3000,180,5,1,abb06,multi_nacl,19
2022_05_10_abb01,2022_05_10,1,param,3000,180,5,1,abb01,multi_nacl,20
2022_05_10_abb03,2022_05_10,1,param,3000,180,5,1,abb03,multi_nacl,20
2022_05_10_abb04,2022_05_10,1,param,3000,180,5,1,abb04,multi_nacl,20
2022_05_10_abb05,2022_05_10,1,param,3000,180,5,1,abb05,multi_nacl,20
2022_05_10_abb06,2022_05_10,1,param,3000,180,5,1,abb06,multi_nacl,20
2022_05_11_abb01,2022_05_11,1,param,3000,180,5,1,abb01,multi_nacl,21
2022_05_11_abb03,2022_05_11,1,param,3000,180,5,1,abb03,multi_nacl,21
2022_05_11_abb04,2022_05_11,1,param,3000,180,5,1,abb04,multi_nacl,21
2022_05_11_abb05,2022_05_11,1,param,3000,180,5,1,abb05,multi_nacl,21
2022_05_11_abb06,2022_05_11,1,param,3000,180,5,1,abb06,multi_nacl,21
2022_05_12_abb01,2022_05_12,1,param,3000,180,5,1,abb01,multi_nacl,22
2022_05_12_abb03,2022_05_12,1,param,3000,180,5,1,abb03,multi_nacl,22
2022_05_12_abb04,2022_05_12,1,param,3000,180,5,1,abb04,multi_nacl,22
2022_05_12_abb05,2022_05_12,1,param,3000,180,5,1,abb05,multi_nacl,22
2022_05_12_abb06,2022_05_12,1,param,3000,180,5,1,abb06,multi_nacl,22
2022_05_13_abb01,2022_05_13,1,param,3000,180,5,1,abb01,multi_nacl,23
2022_05_13_abb03,2022_05_13,1,param,3000,180,5,1,abb03,multi_nacl,23
2022_05_13_abb04,2022_05_13,1,param,3000,180,5,1,abb04,multi_nacl,23
2022_05_13_abb05,2022_05_13,1,param,3000,180,5,1,abb05,multi_nacl,23
2022_05_13_abb06,2022_05_13,1,param,3000,180,5,1,abb06,multi_nacl,23
2022_06_13_abb07,2022_06_13,1,param,3000,180,5,1,abb07,multi_nacl,16
2022_06_13_abb08,2022_06_13,1,param,3000,180,5,1,abb08,multi_nacl,16
2022_06_13_abb09,2022_06_13,1,param,3000,180,5,1,abb09,multi_nacl,16
2022_06_13_abb10,2022_06_13,1,param,3000,180,5,1,abb10,multi_nacl,16
2022_06_13_abb11,2022_06_13,1,param,3000,180,5,1,abb11,multi_nacl,16
2022_06_13_abb12,2022_06_13,1,param,3000,180,5,1,abb12,multi_nacl,16
2022_06_14_abb07,2022_06_14,1,param,3000,180,5,1,abb07,multi_nacl,17
2022_06_14_abb08,2022_06_14,1,param,3000,180,5,1,abb08,multi_nacl,17
2022_06_14_abb09,2022_06_14,1,param,3000,180,5,1,abb09,multi_nacl,17
2022_06_14_abb10,2022_06_14,1,param,3000,180,5,1,abb10,multi_nacl,17
2022_06_14_abb11,2022_06_14,1,param,3000,180,5,1,abb11,multi_nacl,17
2022_06_14_abb12,2022_06_14,1,param,3000,180,5,1,abb12,multi_nacl,17
2022_06_15_abb07,2022_06_15,1,param,3000,180,5,1,abb07,multi_nacl,18
2022_06_15_abb08,2022_06_15,1,param,3000,180,5,1,abb08,multi_nacl,18
2022_06_15_abb09,2022_06_15,1,param,3000,180,5,1,abb09,multi_nacl,18
2022_06_15_abb10,2022_06_15,1,param,3000,180,5,1,abb10,multi_nacl,18
2022_06_15_abb11,2022_06_15,1,param,3000,180,5,1,abb11,multi_nacl,18
2022_06_15_abb12,2022_06_15,1,param,3000,180,5,1,abb12,multi_nacl,18
2022_06_16_abb07,2022_06_16,1,param,3000,180,5,1,abb07,multi_nacl,19
2022_06_16_abb08,2022_06_16,1,param,3000,180,5,1,abb08,multi_nacl,19
2022_06_16_abb09,2022_06_16,1,param,3000,180,5,1,abb09,multi_nacl,19
2022_06_16_abb10,2022_06_16,1,param,3000,180,5,1,abb10,multi_nacl,19
2022_06_16_abb11,2022_06_16,1,param,3000,180,5,1,abb11,multi_nacl,19
2022_06_16_abb12,2022_06_16,1,param,3000,180,5,1,abb12,multi_nacl,19
2022_06_17_abb07,2022_06_17,1,param,3000,180,5,1,abb07,multi_nacl,20
2022_06_17_abb08,2022_06_17,1,param,3000,180,5,1,abb08,multi_nacl,20
2022_06_17_abb09,2022_06_17,1,param,3000,180,5,1,abb09,multi_nacl,20
2022_06_17_abb10,2022_06_17,1,param,3000,180,5,1,abb10,multi_nacl,20
2022_06_17_abb11,2022_06_17,1,param,3000,180,5,1,abb11,multi_nacl,20
2022_06_17_abb12,2022_06_17,1,param,3000,180,5,1,abb12,multi_nacl,20
