contrast1_within,contrast2_within,estimate,SE,df,t_ratio,p_value
nacl000,nacl025,5.290909090909092,0.6789533875601027,40,7.792742753552765,1.4878253851158263e-8
nacl000,nacl050,9.340909090909095,0.6789533875601028,40,13.757806149957846,4.669598041573408e-13
nacl000,nacl100,14.660000000000004,0.6789533875601029,40,21.592056639826776,4.636291350834654e-13
nacl000,nacl150,16.081818181818186,0.6789533875601029,40,23.686188884939583,4.636291350834654e-13
nacl025,nacl050,4.0500000000000025,0.6789533875601026,40,5.965063396405084,5.0990918623039505e-6
nacl025,nacl100,9.369090909090911,0.6789533875601027,40,13.79931388627402,4.667377595524158e-13
nacl025,nacl150,10.790909090909093,0.6789533875601028,40,15.89344613138682,4.638511796883904e-13
nacl050,nacl100,5.319090909090908,0.6789533875601028,40,7.834250489868935,1.306355756902633e-8
nacl050,nacl150,6.74090909090909,0.6789533875601028,40,9.928382734981739,2.404121346444299e-11
nacl100,nacl150,1.4218181818181819,0.6789533875601027,40,2.0941322451128044,0.24258052875778446
