blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd,subject,procedure,day
2022_05_09_abb01,0,spout01,nacl025,39,19.5,19.5,0.7071067811865476,abb01,multi_nacl,19
2022_05_09_abb01,0,spout02,nacl100,19,9.5,9.5,3.5355339059327378,abb01,multi_nacl,19
2022_05_09_abb01,0,spout03,nacl000,36,18,18,0,abb01,multi_nacl,19
2022_05_09_abb01,0,spout04,nacl150,2,1,1,1.4142135623730951,abb01,multi_nacl,19
2022_05_09_abb01,0,spout05,nacl050,38,19,19,2.8284271247461903,abb01,multi_nacl,19
2022_05_09_abb01,10,spout01,nacl025,38,19,19,1.4142135623730951,abb01,multi_nacl,19
2022_05_09_abb01,10,spout02,nacl100,24,12,12,4.242640687119285,abb01,multi_nacl,19
2022_05_09_abb01,10,spout03,nacl000,37,18.5,18.5,0.7071067811865476,abb01,multi_nacl,19
2022_05_09_abb01,10,spout04,nacl150,0,0,0,0,abb01,multi_nacl,19
2022_05_09_abb01,10,spout05,nacl050,39,19.5,19.5,2.1213203435596424,abb01,multi_nacl,19
2022_05_09_abb01,20,spout01,nacl025,18,9,9,11.313708498984761,abb01,multi_nacl,19
2022_05_09_abb01,20,spout02,nacl100,13,6.5,6.5,7.7781745930520225,abb01,multi_nacl,19
2022_05_09_abb01,20,spout03,nacl000,40,20,20,2.8284271247461903,abb01,multi_nacl,19
2022_05_09_abb01,20,spout04,nacl150,0,0,0,0,abb01,multi_nacl,19
2022_05_09_abb01,20,spout05,nacl050,16,8,8,8.48528137423857,abb01,multi_nacl,19
2022_05_09_abb01,30,spout01,nacl025,21,10.5,10.5,13.435028842544403,abb01,multi_nacl,19
2022_05_09_abb01,30,spout02,nacl100,11,5.5,5.5,6.363961030678928,abb01,multi_nacl,19
2022_05_09_abb01,30,spout03,nacl000,39,19.5,19.5,0.7071067811865476,abb01,multi_nacl,19
2022_05_09_abb01,30,spout04,nacl150,0,0,0,0,abb01,multi_nacl,19
2022_05_09_abb01,30,spout05,nacl050,35,17.5,17.5,2.1213203435596424,abb01,multi_nacl,19
2022_05_09_abb01,40,spout01,nacl025,17,8.5,8.5,10.606601717798213,abb01,multi_nacl,19
2022_05_09_abb01,40,spout02,nacl100,3,1.5,1.5,0.7071067811865476,abb01,multi_nacl,19
2022_05_09_abb01,40,spout03,nacl000,40,20,20,5.656854249492381,abb01,multi_nacl,19
2022_05_09_abb01,40,spout04,nacl150,0,0,0,0,abb01,multi_nacl,19
2022_05_09_abb01,40,spout05,nacl050,18,9,9,11.313708498984761,abb01,multi_nacl,19
2022_05_09_abb01,50,spout01,nacl025,18,9,9,11.313708498984761,abb01,multi_nacl,19
2022_05_09_abb01,50,spout02,nacl100,3,1.5,1.5,0.7071067811865476,abb01,multi_nacl,19
2022_05_09_abb01,50,spout03,nacl000,42,21,21,0,abb01,multi_nacl,19
2022_05_09_abb01,50,spout04,nacl150,0,0,0,0,abb01,multi_nacl,19
2022_05_09_abb01,50,spout05,nacl050,26,13,13,0,abb01,multi_nacl,19
2022_05_09_abb01,60,spout01,nacl025,16,8,8,9.899494936611665,abb01,multi_nacl,19
2022_05_09_abb01,60,spout02,nacl100,5,2.5,2.5,0.7071067811865476,abb01,multi_nacl,19
2022_05_09_abb01,60,spout03,nacl000,42,21,21,0,abb01,multi_nacl,19
2022_05_09_abb01,60,spout04,nacl150,1,0.5,0.5,0.7071067811865476,abb01,multi_nacl,19
2022_05_09_abb01,60,spout05,nacl050,19,9.5,9.5,7.7781745930520225,abb01,multi_nacl,19
2022_05_09_abb01,70,spout01,nacl025,21,10.5,10.5,13.435028842544403,abb01,multi_nacl,19
2022_05_09_abb01,70,spout02,nacl100,3,1.5,1.5,0.7071067811865476,abb01,multi_nacl,19
2022_05_09_abb01,70,spout03,nacl000,44,22,22,0,abb01,multi_nacl,19
2022_05_09_abb01,70,spout04,nacl150,0,0,0,0,abb01,multi_nacl,19
2022_05_09_abb01,70,spout05,nacl050,31,15.5,15.5,3.5355339059327378,abb01,multi_nacl,19
2022_05_09_abb01,80,spout01,nacl025,23,11.5,11.5,14.849242404917497,abb01,multi_nacl,19
2022_05_09_abb01,80,spout02,nacl100,2,1,1,0,abb01,multi_nacl,19
2022_05_09_abb01,80,spout03,nacl000,36,18,18,0,abb01,multi_nacl,19
