solution,subject,lick_proportion
nacl000,abb01,0.98
nacl000,abb03,0.96
nacl000,abb04,0.98
nacl000,abb05,0.93
nacl000,abb06,0.68
nacl000,abb07,0.99
nacl000,abb08,0.94
nacl000,abb09,0.8099999999999999
nacl000,abb10,1
nacl000,abb11,1
nacl000,abb12,0.91
nacl025,abb01,0.97
nacl025,abb03,0.9299999999999999
nacl025,abb04,0.97
nacl025,abb05,0.89
nacl025,abb06,0.45999999999999996
nacl025,abb07,0.95
nacl025,abb08,0.75
nacl025,abb09,0.97
nacl025,abb10,0.99
nacl025,abb11,0.93
nacl025,abb12,0.87
nacl050,abb01,0.96
nacl050,abb03,0.94
nacl050,abb04,0.98
nacl050,abb05,0.95
nacl050,abb06,0.65
nacl050,abb07,0.97
nacl050,abb08,0.88
nacl050,abb09,0.89
nacl050,abb10,1
nacl050,abb11,0.96
nacl050,abb12,0.83
nacl100,abb01,1
nacl100,abb03,0.86
nacl100,abb04,0.94
nacl100,abb05,0.94
nacl100,abb06,0.51
nacl100,abb07,0.94
nacl100,abb08,0.86
nacl100,abb09,0.96
nacl100,abb10,0.97
nacl100,abb11,0.89
nacl100,abb12,0.82
nacl150,abb01,0.82
nacl150,abb03,0.7999999999999999
nacl150,abb04,0.97
nacl150,abb05,0.98
nacl150,abb06,0.71
nacl150,abb07,0.72
nacl150,abb08,0.66
nacl150,abb09,0.6
nacl150,abb10,0.72
nacl150,abb11,0.73
nacl150,abb12,0.74
