subject,solution,lick_count_mean,lick_count_total
abb01,sucrose00,8.63,863
abb01,sucrose05,10.9,1090
abb01,sucrose10,10.76,1076
abb01,sucrose20,13.4,1340
abb01,sucrose30,12.09,1209
abb03,sucrose00,8.927272727272728,1964
abb03,sucrose05,8.527272727272727,1876
abb03,sucrose10,8.286363636363637,1823
abb03,sucrose20,9.940909090909091,2187
abb03,sucrose30,11.036363636363637,2428
abb04,sucrose00,10.33,1033
abb04,sucrose05,11.82,1182
abb04,sucrose10,12.34,1234
abb04,sucrose20,15.37,1537
abb04,sucrose30,14.61,1461
abb05,sucrose00,7.05,141
abb05,sucrose05,8.95,179
abb05,sucrose10,7.95,159
abb05,sucrose20,10.6,212
abb05,sucrose30,9.6,192
abb06,sucrose00,2.62,262
abb06,sucrose05,2.88,288
abb06,sucrose10,5.72,572
abb06,sucrose20,9.51,951
abb06,sucrose30,7.38,738
abb07,sucrose00,11.035714285714286,1545
abb07,sucrose05,13.014285714285714,1822
abb07,sucrose10,13.271428571428572,1858
abb07,sucrose20,14.3,2002
abb07,sucrose30,14.15,1981
abb08,sucrose00,13.607142857142858,1905
abb08,sucrose05,13.314285714285715,1864
abb08,sucrose10,15.121428571428572,2117
abb08,sucrose20,16.228571428571428,2272
abb08,sucrose30,17.885714285714286,2504
abb09,sucrose00,9.975,1197
abb09,sucrose05,12.4,1488
abb09,sucrose10,14.816666666666666,1778
abb09,sucrose20,14.733333333333333,1768
abb09,sucrose30,14.933333333333334,1792
abb10,sucrose00,14.757142857142858,2066
abb10,sucrose05,15.471428571428572,2166
abb10,sucrose10,16.492857142857144,2309
abb10,sucrose20,17.385714285714286,2434
abb10,sucrose30,18.435714285714287,2581
abb11,sucrose00,11.2,1344
abb11,sucrose05,12.8,1536
abb11,sucrose10,15.866666666666667,1904
abb11,sucrose20,17.108333333333334,2053
abb11,sucrose30,18.225,2187
abb12,sucrose00,15.192857142857143,2127
abb12,sucrose05,14.92142857142857,2089
abb12,sucrose10,16.192857142857143,2267
abb12,sucrose20,18.357142857142858,2570
abb12,sucrose30,19.478571428571428,2727
