solution,subject,lick_proportion
sucrose00,abb01,0.5136363636363637
sucrose00,abb03,0.68
sucrose00,abb04,0.6227272727272727
sucrose00,abb05,0.83
sucrose00,abb06,0.44545454545454544
sucrose00,abb07,0.65
sucrose00,abb08,0.6083333333333334
sucrose00,abb09,0.7785714285714286
sucrose00,abb10,0.8666666666666667
sucrose00,abb11,0.8428571428571429
sucrose00,abb12,0.8916666666666666
sucrose05,abb01,0.6272727272727273
sucrose05,abb03,0.61
sucrose05,abb04,0.6090909090909091
sucrose05,abb05,0.82
sucrose05,abb06,0.45454545454545453
sucrose05,abb07,0.7285714285714285
sucrose05,abb08,0.7333333333333334
sucrose05,abb09,0.8571428571428572
sucrose05,abb10,0.9
sucrose05,abb11,0.9071428571428571
sucrose05,abb12,0.875
sucrose10,abb01,0.6136363636363636
sucrose10,abb03,0.71
sucrose10,abb04,0.6
sucrose10,abb05,0.9
sucrose10,abb06,0.4681818181818182
sucrose10,abb07,0.7071428571428572
sucrose10,abb08,0.7
sucrose10,abb09,0.9142857142857143
sucrose10,abb10,0.875
sucrose10,abb11,0.8428571428571429
sucrose10,abb12,0.9083333333333333
sucrose20,abb01,0.6863636363636364
sucrose20,abb03,0.72
sucrose20,abb04,0.6681818181818182
sucrose20,abb05,0.83
sucrose20,abb06,0.45
sucrose20,abb07,0.7285714285714285
sucrose20,abb08,0.7833333333333333
sucrose20,abb09,0.9
sucrose20,abb10,0.9
sucrose20,abb11,0.8785714285714286
sucrose20,abb12,0.95
sucrose30,abb01,0.7
sucrose30,abb03,0.61
sucrose30,abb04,0.6954545454545454
sucrose30,abb05,0.8099999999999999
sucrose30,abb06,0.6272727272727273
sucrose30,abb07,0.6857142857142857
sucrose30,abb08,0.7666666666666666
sucrose30,abb09,0.9
sucrose30,abb10,0.9583333333333334
sucrose30,abb11,0.8714285714285714
sucrose30,abb12,0.9833333333333333
