blockname,date,event_key,id_type,access_time,inter_sol_time,num_sol,session_retract,subject,procedure,day
2022_04_14_abb01,2022_04_14,1,param,3000,180,5,1,abb01,multi_s,3
2022_04_14_abb06,2022_04_14,1,param,3000,180,5,1,abb06,multi_s,3
2022_04_15_abb01,2022_04_15,1,param,3000,180,5,1,abb01,multi_s,4
2022_04_15_abb04,2022_04_15,1,param,3000,180,5,1,abb04,multi_s,3
2022_04_15_abb06,2022_04_15,1,param,3000,180,5,1,abb06,multi_s,4
2022_04_16_abb04,2022_04_16,1,param,3000,180,5,1,abb04,multi_s,4
2022_04_18_abb01,2022_04_18,1,param,3000,180,5,1,abb01,multi_s,5
2022_04_18_abb04,2022_04_18,1,param,3000,180,5,1,abb04,multi_s,5
2022_04_18_abb06,2022_04_18,1,param,3000,180,5,1,abb06,multi_s,5
2022_04_19_abb01,2022_04_19,1,param,3000,180,5,1,abb01,multi_s,6
2022_04_19_abb04,2022_04_19,1,param,3000,180,5,1,abb04,multi_s,6
2022_04_19_abb06,2022_04_19,1,param,3000,180,5,1,abb06,multi_s,6
2022_04_20_abb01,2022_04_20,1,param,3000,180,5,1,abb01,multi_s,7
2022_04_20_abb04,2022_04_20,1,param,3000,180,5,1,abb04,multi_s,7
2022_04_20_abb06,2022_04_20,1,param,3000,180,5,1,abb06,multi_s,7
2022_04_21_abb01,2022_04_21,1,param,3000,180,5,1,abb01,multi_s,8
2022_04_21_abb04,2022_04_21,1,param,3000,180,5,1,abb04,multi_s,8
2022_04_21_abb06,2022_04_21,1,param,3000,180,5,1,abb06,multi_s,8
2022_04_22_abb01,2022_04_22,1,param,3000,180,5,1,abb01,multi_s,9
2022_04_22_abb04,2022_04_22,1,param,3000,180,5,1,abb04,multi_s,9
2022_04_22_abb06,2022_04_22,1,param,3000,180,5,1,abb06,multi_s,9
2022_04_25_abb01,2022_04_25,1,param,3000,180,5,1,abb01,multi_s,10
2022_04_25_abb04,2022_04_25,1,param,3000,180,5,1,abb04,multi_s,10
2022_04_25_abb06,2022_04_25,1,param,3000,180,5,1,abb06,multi_s,10
2022_04_26_abb01,2022_04_26,1,param,3000,180,5,1,abb01,multi_s,11
2022_04_26_abb04,2022_04_26,1,param,3000,180,5,1,abb04,multi_s,11
2022_04_26_abb06,2022_04_26,1,param,3000,180,5,1,abb06,multi_s,11
2022_04_27_abb01,2022_04_27,1,param,3000,180,5,1,abb01,multi_s,12
2022_04_27_abb04,2022_04_27,1,param,3000,180,5,1,abb04,multi_s,12
2022_04_27_abb06,2022_04_27,1,param,3000,180,5,1,abb06,multi_s,12
2022_04_28_abb01,2022_04_28,1,param,3000,180,5,1,abb01,multi_s,13
2022_04_28_abb04,2022_04_28,1,param,3000,180,5,1,abb04,multi_s,13
2022_04_28_abb06,2022_04_28,1,param,3000,180,5,1,abb06,multi_s,13
2022_05_02_abb03,2022_05_02,1,param,3000,180,5,1,abb03,multi_s,14
2022_05_02_abb05,2022_05_02,1,param,3000,180,5,1,abb05,multi_s,14
2022_05_03_abb03,2022_05_03,1,param,3000,180,5,1,abb03,multi_s,15
2022_05_03_abb05,2022_05_03,1,param,3000,180,5,1,abb05,multi_s,15
2022_05_04_abb03,2022_05_04,1,param,3000,180,5,1,abb03,multi_s,16
2022_05_04_abb05,2022_05_04,1,param,3000,180,5,1,abb05,multi_s,16
2022_05_05_abb03,2022_05_05,1,param,3000,180,5,1,abb03,multi_s,17
2022_05_05_abb05,2022_05_05,1,param,3000,180,5,1,abb05,multi_s,17
2022_05_06_abb03,2022_05_06,1,param,3000,180,5,1,abb03,multi_s,18
2022_05_06_abb05,2022_05_06,1,param,3000,180,5,1,abb05,multi_s,18
2022_05_19_abb07,2022_05_19,1,param,3000,180,5,1,abb07,multi_s,3
2022_05_19_abb09,2022_05_19,1,param,3000,180,5,1,abb09,multi_s,3
2022_05_19_abb11,2022_05_19,1,param,3000,180,5,1,abb11,multi_s,3
2022_05_20_abb07,2022_05_20,1,param,3000,180,5,1,abb07,multi_s,4
2022_05_20_abb09,2022_05_20,1,param,3000,180,5,1,abb09,multi_s,4
2022_05_20_abb11,2022_05_20,1,param,3000,180,5,1,abb11,multi_s,4
2022_05_23_abb07,2022_05_23,1,param,3000,180,5,1,abb07,multi_s,5
2022_05_23_abb09,2022_05_23,1,param,3000,180,5,1,abb09,multi_s,5
2022_05_23_abb11,2022_05_23,1,param,3000,180,5,1,abb11,multi_s,5
2022_05_24_abb07,2022_05_24,1,param,3000,180,5,1,abb07,multi_s,6
2022_05_24_abb09,2022_05_24,1,param,3000,180,5,1,abb09,multi_s,6
2022_05_24_abb11,2022_05_24,1,param,3000,180,5,1,abb11,multi_s,6
2022_05_25_abb07,2022_05_25,1,param,3000,180,5,1,abb07,multi_s,7
2022_05_25_abb09,2022_05_25,1,param,3000,180,5,1,abb09,multi_s,7
2022_05_25_abb11,2022_05_25,1,param,3000,180,5,1,abb11,multi_s,7
2022_05_26_abb07,2022_05_26,1,param,3000,180,5,1,abb07,multi_s,8
2022_05_26_abb09,2022_05_26,1,param,3000,180,5,1,abb09,multi_s,8
2022_05_26_abb11,2022_05_26,1,param,3000,180,5,1,abb11,multi_s,8
2022_05_27_abb07,2022_05_27,1,param,3000,180,5,1,abb07,multi_s,9
2022_05_27_abb09,2022_05_27,1,param,3000,180,5,1,abb09,multi_s,9
2022_05_27_abb11,2022_05_27,1,param,3000,180,5,1,abb11,multi_s,9
2022_05_30_abb08,2022_05_30,1,param,3000,180,5,1,abb08,multi_s,10
2022_05_30_abb10,2022_05_30,1,param,3000,180,5,1,abb10,multi_s,10
2022_05_30_abb12,2022_05_30,1,param,3000,180,5,1,abb12,multi_s,10
2022_05_31_abb08,2022_05_31,1,param,3000,180,5,1,abb08,multi_s,11
2022_05_31_abb10,2022_05_31,1,param,3000,180,5,1,abb10,multi_s,11
2022_05_31_abb12,2022_05_31,1,param,3000,180,5,1,abb12,multi_s,11
2022_06_07_abb08,2022_06_07,1,param,3000,180,5,1,abb08,multi_s,12
2022_06_07_abb10,2022_06_07,1,param,3000,180,5,1,abb10,multi_s,12
2022_06_07_abb12,2022_06_07,1,param,3000,180,5,1,abb12,multi_s,12
2022_06_08_abb08,2022_06_08,1,param,3000,180,5,1,abb08,multi_s,13
2022_06_08_abb10,2022_06_08,1,param,3000,180,5,1,abb10,multi_s,13
2022_06_08_abb12,2022_06_08,1,param,3000,180,5,1,abb12,multi_s,13
2022_06_09_abb08,2022_06_09,1,param,3000,180,5,1,abb08,multi_s,14
2022_06_09_abb10,2022_06_09,1,param,3000,180,5,1,abb10,multi_s,14
2022_06_09_abb12,2022_06_09,1,param,3000,180,5,1,abb12,multi_s,14
2022_06_10_abb08,2022_06_10,1,param,3000,180,5,1,abb08,multi_s,15
2022_06_10_abb10,2022_06_10,1,param,3000,180,5,1,abb10,multi_s,15
2022_06_10_abb12,2022_06_10,1,param,3000,180,5,1,abb12,multi_s,15
