contrast1_within,contrast2_within,estimate,SE,df,t_ratio,p_value
sucrose00,sucrose05,-0.9289138134592712,0.5987348816109522,40,-1.5514609921505518,0.5362640561863741
sucrose00,sucrose10,-3.4914403778040173,0.5987348816109522,40,-5.831362903744592,7.839058076664074e-6
sucrose00,sucrose20,-7.7118752459661595,0.5987348816109523,40,-12.880283883271735,4.780620344035924e-13
sucrose00,sucrose30,-9.59682802046439,0.5987348816109522,40,-16.02850997196493,4.638511796883904e-13
sucrose05,sucrose10,-2.562526564344746,0.5987348816109521,40,-4.279901911594042,0.0010222828305562759
sucrose05,sucrose20,-6.782961432506888,0.5987348816109521,40,-11.328822891121186,9.539036227579345e-13
sucrose05,sucrose30,-8.6679142070051185,0.5987348816109522,40,-14.477048979814379,4.647393581080905e-13
sucrose10,sucrose20,-4.220434868162142,0.5987348816109522,40,-7.048920979527145,1.5679582943128878e-7
sucrose10,sucrose30,-6.1053876426603715,0.5987348816109522,40,-10.197147068220335,1.1372902619655179e-11
sucrose20,sucrose30,-1.8849527744982293,0.5987348816109522,40,-3.1482260886931916,0.024390172402815713
