contrast1_within,contrast2_within,estimate,SE,df,t_ratio,p_value
sucrose00,sucrose05,-0.03565328610783164,0.018806694655067624,40,-1.8957763052862964,0.33612502563852575
sucrose00,sucrose10,-0.04632034632034639,0.018806694655067624,40,-2.4629711477697107,0.11982881437671611
sucrose00,sucrose20,-0.06955529319165688,0.018806694655067627,40,-3.6984326308990503,0.00556556134460362
sucrose00,sucrose30,-0.07984454939000389,0.018806694655067624,40,-4.245538668778732,0.0011332782102208006
sucrose05,sucrose10,-0.010667060212514743,0.01880669465506762,40,-0.567194842483414,0.9790680830017993
sucrose05,sucrose20,-0.03390200708382522,0.018806694655067624,40,-1.802656325612754,0.3862987316433125
sucrose05,sucrose30,-0.044191263282172245,0.018806694655067627,40,-2.3497623634924345,0.15070497686177364
sucrose10,sucrose20,-0.023234946871310485,0.018806694655067624,40,-1.2354614831293405,0.7309730710548045
sucrose10,sucrose30,-0.033524203069657504,0.018806694655067627,40,-1.7825675210090208,0.397585498670909
sucrose20,sucrose30,-0.010289256198347021,0.018806694655067624,40,-0.5471060378796809,0.9816771701762932
