contrast1_within,contrast2_within,estimate,SE,df,t_ratio,p_value
sucrose00,sucrose05,-0.016597796143250566,0.022194872675007207,40,-0.7478211921414042,0.9436928197080462
sucrose00,sucrose10,-0.031568280204643695,0.022194872675007207,40,-1.422323104389399,0.6172782270744654
sucrose00,sucrose20,-0.059878000787091594,0.022194872675007218,40,-2.6978303351349195,0.07206782009372747
sucrose00,sucrose30,-0.042902400629673106,0.02219487267500721,40,-1.9329870127159523,0.31713896076791537
sucrose05,sucrose10,-0.014970484061393131,0.0221948726750072,40,-0.6745019122479952,0.9607967764989704
sucrose05,sucrose20,-0.043280204643841025,0.022194872675007207,40,-1.9500091429935167,0.3086678146805347
sucrose05,sucrose30,-0.02630460448642254,0.02219487267500721,40,-1.1851658205745483,0.7596764478761794
sucrose10,sucrose20,-0.0283097205824479,0.022194872675007207,40,-1.275507230745522,0.7074002063026597
sucrose10,sucrose30,-0.011334120425029409,0.02219487267500721,40,-0.5106639083265535,0.9858229480158347
sucrose20,sucrose30,0.01697560015741849,0.022194872675007207,40,0.7648433224189684,0.9391494747413487
