contrast1_within,contrast2_within,estimate,SE,df,t_ratio,p_value
sucrose00,sucrose05,-0.9374242424242432,0.4220358701214705,40,-2.2211956584506276,0.1929080330837023
sucrose00,sucrose10,-2.104393939393939,0.42203587012147054,40,-4.986291659967793,1.1588920599236996e-4
sucrose00,sucrose20,-3.9090810704447065,0.42203587012147065,40,-9.26243797551993,1.6651113821097852e-10
sucrose00,sucrose30,-4.305204643841006,0.4220358701214706,40,-10.201039647653362,1.1252332399180887e-11
sucrose05,sucrose10,-1.1669696969696959,0.4220358701214705,40,-2.7650960015171657,0.0618285421464323
sucrose05,sucrose20,-2.971656828020463,0.4220358701214705,40,-7.0412423170693055,1.6068747066277922e-7
sucrose05,sucrose30,-3.367780401416763,0.4220358701214706,40,-7.979843989202735,8.288423725133498e-9
sucrose10,sucrose20,-1.8046871310507675,0.42203587012147054,40,-4.27614631555214,0.0010338802619530574
sucrose10,sucrose30,-2.200810704447067,0.42203587012147065,40,-5.214747987685569,5.6305747547447105e-5
sucrose20,sucrose30,-0.3961235733962997,0.42203587012147054,40,-0.9386016721334309,0.8800770276741777
