blockname,date,event_key,event_id,event_id_char,event_ts
2022_06_15_abb10,2022_06_15,1,11,break_engaged,0
2022_06_15_abb10,2022_06_15,1,13,spout_extended,0
2022_06_15_abb10,2022_06_15,1,1,start_session,0
2022_06_15_abb10,2022_06_15,1,15,spout_retracted,0
2022_06_15_abb10,2022_06_15,1,13,spout_extended,10852
2022_06_15_abb10,2022_06_15,1,31,lick,11002
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11002
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11030
2022_06_15_abb10,2022_06_15,1,31,lick,11122
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11122
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11150
2022_06_15_abb10,2022_06_15,1,31,lick,11242
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11242
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11270
2022_06_15_abb10,2022_06_15,1,31,lick,11342
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11342
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11370
2022_06_15_abb10,2022_06_15,1,31,lick,11459
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11459
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11487
2022_06_15_abb10,2022_06_15,1,31,lick,11567
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11567
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11595
2022_06_15_abb10,2022_06_15,1,31,lick,11678
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11678
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11706
2022_06_15_abb10,2022_06_15,1,31,lick,11795
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11795
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11823
2022_06_15_abb10,2022_06_15,1,31,lick,11899
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,11899
2022_06_15_abb10,2022_06_15,1,14,sol_offset,11927
2022_06_15_abb10,2022_06_15,1,31,lick,12019
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,12019
2022_06_15_abb10,2022_06_15,1,14,sol_offset,12047
2022_06_15_abb10,2022_06_15,1,31,lick,12139
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,12139
2022_06_15_abb10,2022_06_15,1,14,sol_offset,12167
2022_06_15_abb10,2022_06_15,1,31,lick,12271
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,12271
2022_06_15_abb10,2022_06_15,1,14,sol_offset,12299
2022_06_15_abb10,2022_06_15,1,31,lick,12433
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,12433
2022_06_15_abb10,2022_06_15,1,14,sol_offset,12461
2022_06_15_abb10,2022_06_15,1,31,lick,12564
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,12564
2022_06_15_abb10,2022_06_15,1,14,sol_offset,12592
2022_06_15_abb10,2022_06_15,1,31,lick,12703
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,12703
2022_06_15_abb10,2022_06_15,1,14,sol_offset,12731
2022_06_15_abb10,2022_06_15,1,31,lick,12838
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,12838
2022_06_15_abb10,2022_06_15,1,14,sol_offset,12866
2022_06_15_abb10,2022_06_15,1,31,lick,12954
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,12954
2022_06_15_abb10,2022_06_15,1,14,sol_offset,12982
2022_06_15_abb10,2022_06_15,1,31,lick,13085
2022_06_15_abb10,2022_06_15,1,41,sol_onset_01,13085
2022_06_15_abb10,2022_06_15,1,14,sol_offset,13113
