blockname,trial_split,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_04_15_abb06,0,65,6.5,5,6.096447052723961
2022_04_15_abb06,10,53,5.3,5,4.056544780420347
2022_04_15_abb06,20,29,2.9,1.5,3.8715486421958962
2022_04_15_abb06,30,27,2.7,1,3.945461527713414
2022_04_15_abb06,40,9,0.9,0,1.5951314818673865
2022_04_15_abb06,50,30,3,2,3.4641016151377544
2022_04_15_abb06,60,23,2.3,1,2.9078437983419185
2022_04_15_abb06,70,20,2,1.5,2.4037008503093262
2022_04_15_abb06,80,19,1.9,2,1.8529256146249728
2022_04_15_abb06,90,19,1.9,1.5,2.0248456731316584
