blockname,event_id_char,event_ts,trial_start_ts,trial_num,spout,trial_num_tastant,event_ts_rel,experiment,cohort,date,solution,solution_type,solution_value
2022_05_04_abb04,lick_05,9198,9046,1,spout05,1,152,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,9426,9046,1,spout05,1,380,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,9543,9046,1,spout05,1,497,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,9705,9046,1,spout05,1,659,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,9809,9046,1,spout05,1,763,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,9960,9046,1,spout05,1,914,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,10088,9046,1,spout05,1,1042,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,10234,9046,1,spout05,1,1188,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,10378,9046,1,spout05,1,1332,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,10521,9046,1,spout05,1,1475,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,10672,9046,1,spout05,1,1626,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,10822,9046,1,spout05,1,1776,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,10970,9046,1,spout05,1,1924,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,11124,9046,1,spout05,1,2078,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,11275,9046,1,spout05,1,2229,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,11425,9046,1,spout05,1,2379,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,11584,9046,1,spout05,1,2538,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,11743,9046,1,spout05,1,2697,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_05,12021,9046,1,spout05,1,2975,abb,1,5/4/2022,sucrose05,sucrose,5
2022_05_04_abb04,lick_03,21041,20482,2,spout03,1,559,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,21165,20482,2,spout03,1,683,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,21432,20482,2,spout03,1,950,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,21571,20482,2,spout03,1,1089,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,21718,20482,2,spout03,1,1236,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,21853,20482,2,spout03,1,1371,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,21965,20482,2,spout03,1,1483,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,22270,20482,2,spout03,1,1788,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,22378,20482,2,spout03,1,1896,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,22668,20482,2,spout03,1,2186,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,22815,20482,2,spout03,1,2333,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,22955,20482,2,spout03,1,2473,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_03,23372,20482,2,spout03,1,2890,abb,1,5/4/2022,sucrose20,sucrose,20
2022_05_04_abb04,lick_04,32248,32021,3,spout04,1,227,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,32396,32021,3,spout04,1,375,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,32523,32021,3,spout04,1,502,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,32666,32021,3,spout04,1,645,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,32797,32021,3,spout04,1,776,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,32944,32021,3,spout04,1,923,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,33049,32021,3,spout04,1,1028,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,33200,32021,3,spout04,1,1179,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,33315,32021,3,spout04,1,1294,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,33451,32021,3,spout04,1,1430,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,33577,32021,3,spout04,1,1556,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,33729,32021,3,spout04,1,1708,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,33880,32021,3,spout04,1,1859,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,33980,32021,3,spout04,1,1959,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,34126,32021,3,spout04,1,2105,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,34266,32021,3,spout04,1,2245,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,34398,32021,3,spout04,1,2377,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,34533,32021,3,spout04,1,2512,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,34814,32021,3,spout04,1,2793,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_04,34969,32021,3,spout04,1,2948,abb,1,5/4/2022,sucrose00,sucrose,0
2022_05_04_abb04,lick_02,43878,43498,4,spout02,1,380,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,44013,43498,4,spout02,1,515,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,44141,43498,4,spout02,1,643,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,44427,43498,4,spout02,1,929,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,44593,43498,4,spout02,1,1095,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,44740,43498,4,spout02,1,1242,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,44882,43498,4,spout02,1,1384,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,45176,43498,4,spout02,1,1678,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,45324,43498,4,spout02,1,1826,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,45605,43498,4,spout02,1,2107,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,45753,43498,4,spout02,1,2255,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,46035,43498,4,spout02,1,2537,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,46186,43498,4,spout02,1,2688,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_02,46480,43498,4,spout02,1,2982,abb,1,5/4/2022,sucrose10,sucrose,10
2022_05_04_abb04,lick_04,56725,56591,5,spout04,2,134,abb,1,5/4/2022,sucrose00,sucrose,0
