blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd
2022_05_11_abb03,0,spout01,nacl050,31,15.5,15.5,0.7071067811865476
2022_05_11_abb03,0,spout02,nacl025,38,19,19,0
2022_05_11_abb03,0,spout03,nacl100,17,8.5,8.5,3.5355339059327378
2022_05_11_abb03,0,spout04,nacl000,39,19.5,19.5,3.5355339059327378
2022_05_11_abb03,0,spout05,nacl150,6,3,3,2.8284271247461903
2022_05_11_abb03,10,spout01,nacl050,32,16,16,2.8284271247461903
2022_05_11_abb03,10,spout02,nacl025,30,15,15,1.4142135623730951
2022_05_11_abb03,10,spout03,nacl100,6,3,3,0
2022_05_11_abb03,10,spout04,nacl000,42,21,21,2.8284271247461903
2022_05_11_abb03,10,spout05,nacl150,4,2,2,1.4142135623730951
2022_05_11_abb03,20,spout01,nacl050,21,10.5,10.5,3.5355339059327378
2022_05_11_abb03,20,spout02,nacl025,33,16.5,16.5,2.1213203435596424
2022_05_11_abb03,20,spout03,nacl100,4,2,2,0
2022_05_11_abb03,20,spout04,nacl000,37,18.5,18.5,0.7071067811865476
2022_05_11_abb03,20,spout05,nacl150,2,1,1,0
2022_05_11_abb03,30,spout01,nacl050,18,9,9,8.48528137423857
2022_05_11_abb03,30,spout02,nacl025,27,13.5,13.5,2.1213203435596424
2022_05_11_abb03,30,spout03,nacl100,5,2.5,2.5,0.7071067811865476
2022_05_11_abb03,30,spout04,nacl000,40,20,20,0
2022_05_11_abb03,30,spout05,nacl150,3,1.5,1.5,0.7071067811865476
2022_05_11_abb03,40,spout01,nacl050,19,9.5,9.5,4.949747468305833
2022_05_11_abb03,40,spout02,nacl025,29,14.5,14.5,0.7071067811865476
2022_05_11_abb03,40,spout03,nacl100,2,1,1,0
2022_05_11_abb03,40,spout04,nacl000,26,13,13,7.0710678118654755
2022_05_11_abb03,40,spout05,nacl150,4,2,2,0
2022_05_11_abb03,50,spout01,nacl050,4,2,2,1.4142135623730951
2022_05_11_abb03,50,spout02,nacl025,25,12.5,12.5,0.7071067811865476
2022_05_11_abb03,50,spout03,nacl100,3,1.5,1.5,0.7071067811865476
2022_05_11_abb03,50,spout04,nacl000,33,16.5,16.5,3.5355339059327378
2022_05_11_abb03,50,spout05,nacl150,2,1,1,0
2022_05_11_abb03,60,spout01,nacl050,3,1.5,1.5,0.7071067811865476
2022_05_11_abb03,60,spout02,nacl025,26,13,13,1.4142135623730951
2022_05_11_abb03,60,spout03,nacl100,3,1.5,1.5,0.7071067811865476
2022_05_11_abb03,60,spout04,nacl000,34,17,17,4.242640687119285
2022_05_11_abb03,60,spout05,nacl150,2,1,1,0
2022_05_11_abb03,70,spout01,nacl050,20,10,10,4.242640687119285
2022_05_11_abb03,70,spout02,nacl025,27,13.5,13.5,0.7071067811865476
2022_05_11_abb03,70,spout03,nacl100,3,1.5,1.5,0.7071067811865476
2022_05_11_abb03,70,spout04,nacl000,17,8.5,8.5,10.606601717798213
2022_05_11_abb03,70,spout05,nacl150,4,2,2,0
2022_05_11_abb03,80,spout01,nacl050,16,8,8,8.48528137423857
2022_05_11_abb03,80,spout02,nacl025,23,11.5,11.5,2.1213203435596424
2022_05_11_abb03,80,spout03,nacl100,2,1,1,0
2022_05_11_abb03,80,spout04,nacl000,30,15,15,0
2022_05_11_abb03,80,spout05,nacl150,2,1,1,0
2022_05_11_abb03,90,spout01,nacl050,15,7.5,7.5,0.7071067811865476
2022_05_11_abb03,90,spout02,nacl025,21,10.5,10.5,0.7071067811865476
2022_05_11_abb03,90,spout03,nacl100,1,0.5,0.5,0.7071067811865476
2022_05_11_abb03,90,spout04,nacl000,32,16,16,0
2022_05_11_abb03,90,spout05,nacl150,1,0.5,0.5,0.7071067811865476
