blockname,trial_start_ts,trial_num,spout,trial_num_tastant,lick_count,lick_ts_first,lick_ts_last,lick_ili_mean,trial_lick,experiment,cohort,date,solution,solution_type,solution_value
2022_05_31_abb11,8624,1,spout05,1,20,194,2889,141.8421052631579,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,22960,2,spout04,1,22,171,2916,130.71428571428572,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,36574,3,spout05,2,22,212,2996,132.57142857142858,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,50724,4,spout01,1,22,259,2864,124.04761904761905,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,65674,5,spout03,1,23,190,2896,123,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,78360,6,spout03,2,23,198,2927,124.04545454545455,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,90428,7,spout04,2,23,199,2979,126.36363636363636,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,102153,8,spout02,1,23,293,2948,120.68181818181819,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,117318,9,spout02,2,24,192,2971,120.82608695652173,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,128865,10,spout01,2,22,235,2968,130.14285714285714,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,141190,11,spout01,3,23,204,2981,126.22727272727273,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,152542,12,spout02,3,22,315,2839,120.19047619047619,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,168460,13,spout01,4,20,165,2747,135.89473684210526,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,182546,14,spout05,3,23,182,2896,123.36363636363636,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,195049,15,spout04,3,23,200,2998,127.18181818181819,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,210829,16,spout05,4,24,186,2904,118.17391304347827,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,223110,17,spout03,3,23,298,2926,119.45454545454545,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,235097,18,spout03,4,24,219,2949,118.69565217391305,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,248222,19,spout04,4,23,212,2887,121.5909090909091,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,260490,20,spout02,4,24,222,2983,120.04347826086956,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,273926,21,spout01,5,21,231,2907,133.8,1,abb,2,5/31/2022,sucrose30,sucrose,30
2022_05_31_abb11,289422,22,spout05,5,21,238,2875,131.85,1,abb,2,5/31/2022,sucrose05,sucrose,5
2022_05_31_abb11,304372,23,spout02,5,22,282,2965,127.76190476190476,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,319749,24,spout03,5,24,190,2911,118.30434782608695,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,334514,25,spout04,5,20,189,2919,143.68421052631578,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,345701,26,spout02,6,23,212,2883,121.4090909090909,1,abb,2,5/31/2022,sucrose10,sucrose,10
2022_05_31_abb11,358236,27,spout03,6,24,199,2945,119.3913043478261,1,abb,2,5/31/2022,sucrose20,sucrose,20
2022_05_31_abb11,370878,28,spout04,6,24,201,2939,119.04347826086956,1,abb,2,5/31/2022,sucrose00,sucrose,0
2022_05_31_abb11,383577,29,spout05,6,23,213,2933,123.63636363636364,1,abb,2,5/31/2022,sucrose05,sucrose,5
