experiment,date,subject,group,day,procedure,blockname,ppr,resolution,fr,direction,deprivation,stim_freq,zone_paired
aar,7/6/2021,aar01,NA,0,fa_suc10,2021_07_06_aar01,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar02,NA,0,fa_suc10,2021_07_06_aar02,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar03,NA,0,fa_suc10,2021_07_06_aar03,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar04,NA,0,fa_suc10,2021_07_06_aar04,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar05,NA,0,fa_suc10,2021_07_06_aar05,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar06,NA,0,fa_suc10,2021_07_06_aar06,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar07,NA,0,fa_suc10,2021_07_06_aar07,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar08,NA,0,fa_suc10,2021_07_06_aar08,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar09,NA,0,fa_suc10,2021_07_06_aar09,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar10,NA,0,fa_suc10,2021_07_06_aar10,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar11,NA,0,fa_suc10,2021_07_06_aar11,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar12,NA,0,fa_suc10,2021_07_06_aar12,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar13,NA,0,fa_suc10,2021_07_06_aar13,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar14,NA,0,fa_suc10,2021_07_06_aar14,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar15,NA,0,fa_suc10,2021_07_06_aar15,1024,32,NA,NA,wr,NA,NA
aar,7/6/2021,aar16,NA,0,fa_suc10,2021_07_06_aar16,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar02,NA,1,training_mag,2021_07_07_aar02,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar03,NA,1,training_mag,2021_07_07_aar03,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar05,NA,1,training_mag,2021_07_07_aar05,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar06,NA,1,training_mag,2021_07_07_aar06,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar07,NA,1,training_mag,2021_07_07_aar07,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar08,NA,1,training_mag,2021_07_07_aar08,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar09,NA,1,training_mag,2021_07_07_aar09,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar10,NA,1,training_mag,2021_07_07_aar10,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar11,NA,1,training_mag,2021_07_07_aar11,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar12,NA,1,training_mag,2021_07_07_aar12,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar13,NA,1,training_mag,2021_07_07_aar13,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar14,NA,1,training_mag,2021_07_07_aar14,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar15,NA,1,training_mag,2021_07_07_aar15,1024,32,NA,NA,wr,NA,NA
aar,7/7/2021,aar16,NA,1,training_mag,2021_07_07_aar16,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar01,NA,1,training_mag,2021_07_08_aar01,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar02,NA,2,training_mag,2021_07_08_aar02,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar03,NA,2,training_mag,2021_07_08_aar03,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar04,NA,1,training_mag,2021_07_08_aar04,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar05,NA,2,training_mag,2021_07_08_aar05,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar06,NA,2,training_mag,2021_07_08_aar06,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar07,NA,2,training_mag,2021_07_08_aar07,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar08,NA,2,training_mag,2021_07_08_aar08,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar09,NA,2,training_mag,2021_07_08_aar09,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar10,NA,2,training_mag,2021_07_08_aar10,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar11,NA,2,training_mag,2021_07_08_aar11,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar12,NA,2,training_mag,2021_07_08_aar12,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar13,NA,2,training_mag,2021_07_08_aar13,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar14,NA,2,training_mag,2021_07_08_aar14,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar15,NA,2,training_mag,2021_07_08_aar15,1024,32,NA,NA,wr,NA,NA
aar,7/8/2021,aar16,NA,2,training_mag,2021_07_08_aar16,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar01,NA,2,training_mag,2021_07_09_aar01,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar02,NA,3,training_mag,2021_07_09_aar02,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar03,NA,3,training_mag,2021_07_09_aar03,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar04,NA,2,training_mag,2021_07_09_aar04,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar05,NA,3,training_mag,2021_07_09_aar05,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar06,NA,3,training_mag,2021_07_09_aar06,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar07,NA,3,training_mag,2021_07_09_aar07,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar09,NA,3,training_mag,2021_07_09_aar09,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar10,NA,3,training_mag,2021_07_09_aar10,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar11,NA,3,training_mag,2021_07_09_aar11,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar12,NA,3,training_mag,2021_07_09_aar12,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar13,NA,3,training_mag,2021_07_09_aar13,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar14,NA,3,training_mag,2021_07_09_aar14,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar15,NA,3,training_mag,2021_07_09_aar15,1024,32,NA,NA,wr,NA,NA
aar,7/9/2021,aar16,NA,3,training_mag,2021_07_09_aar16,1024,32,NA,NA,wr,NA,NA
aar,7/10/2021,aar01,NA,3,training_mag,2021_07_10_aar01,1024,32,NA,NA,wr,NA,NA
aar,7/10/2021,aar04,NA,3,training_mag,2021_07_10_aar04,1024,32,NA,NA,wr,NA,NA
aar,7/10/2021,aar08,NA,3,training_mag,2021_07_10_aar08,1024,32,NA,NA,wr,NA,NA
aar,7/12/2021,aar01,NA,4,fr_sucrose_10,2021_07_12_aar01,1024,32,8,right,wr,NA,NA
aar,7/12/2021,aar02,NA,4,fr_sucrose_10,2021_07_12_aar02,1024,32,8,left,wr,NA,NA
aar,7/12/2021,aar03,NA,4,fr_sucrose_10,2021_07_12_aar03,1024,32,8,right,wr,NA,NA
aar,7/12/2021,aar04,NA,4,fr_sucrose_10,2021_07_12_aar04,1024,32,8,left,wr,NA,NA
aar,7/12/2021,aar05,NA,4,fr_sucrose_10,2021_07_12_aar05,1024,32,8,right,wr,NA,NA
aar,7/12/2021,aar06,NA,4,fr_sucrose_10,2021_07_12_aar06,1024,32,8,left,wr,NA,NA
aar,7/12/2021,aar07,NA,4,fr_sucrose_10,2021_07_12_aar07,1024,32,8,right,wr,NA,NA
aar,7/12/2021,aar08,NA,4,fr_sucrose_10,2021_07_12_aar08,1024,32,8,left,wr,NA,NA
aar,7/12/2021,aar09,NA,4,fr_sucrose_10,2021_07_12_aar09,1024,32,8,right,wr,NA,NA
aar,7/12/2021,aar10,NA,4,fr_sucrose_10,2021_07_12_aar10,1024,32,8,left,wr,NA,NA
aar,7/12/2021,aar11,NA,4,fr_sucrose_10,2021_07_12_aar11,1024,32,8,right,wr,NA,NA
aar,7/12/2021,aar12,NA,4,fr_sucrose_10,2021_07_12_aar12,1024,32,8,left,wr,NA,NA
aar,7/12/2021,aar13,NA,4,fr_sucrose_10,2021_07_12_aar13,1024,32,8,right,wr,NA,NA
aar,7/12/2021,aar14,NA,4,fr_sucrose_10,2021_07_12_aar14,1024,32,8,left,wr,NA,NA
aar,7/12/2021,aar15,NA,4,fr_sucrose_10,2021_07_12_aar15,1024,32,8,right,wr,NA,NA
aar,7/12/2021,aar16,NA,4,fr_sucrose_10,2021_07_12_aar16,1024,32,8,left,wr,NA,NA
aar,7/13/2021,aar01,NA,5,fr_sucrose_10,2021_07_13_aar01,1024,32,16,right,wr,NA,NA
aar,7/13/2021,aar02,NA,5,fr_sucrose_10,2021_07_13_aar02,1024,32,16,left,wr,NA,NA
aar,7/13/2021,aar03,NA,5,fr_sucrose_10,2021_07_13_aar03,1024,32,16,right,wr,NA,NA
aar,7/13/2021,aar04,NA,5,fr_sucrose_10,2021_07_13_aar04,1024,32,16,left,wr,NA,NA
aar,7/13/2021,aar05,NA,5,fr_sucrose_10,2021_07_13_aar05,1024,32,16,right,wr,NA,NA
aar,7/13/2021,aar06,NA,5,fr_sucrose_10,2021_07_13_aar06,1024,32,16,left,wr,NA,NA
aar,7/13/2021,aar07,NA,5,fr_sucrose_10,2021_07_13_aar07,1024,32,16,right,wr,NA,NA
aar,7/13/2021,aar08,NA,5,fr_sucrose_10,2021_07_13_aar08,1024,32,16,left,wr,NA,NA
aar,7/13/2021,aar09,NA,5,fr_sucrose_10,2021_07_13_aar09,1024,32,16,right,wr,NA,NA
aar,7/13/2021,aar10,NA,5,fr_sucrose_10,2021_07_13_aar10,1024,32,16,left,wr,NA,NA
aar,7/13/2021,aar11,NA,5,fr_sucrose_10,2021_07_13_aar11,1024,32,16,right,wr,NA,NA
aar,7/13/2021,aar12,NA,5,fr_sucrose_10,2021_07_13_aar12,1024,32,16,left,wr,NA,NA
aar,7/13/2021,aar13,NA,5,fr_sucrose_10,2021_07_13_aar13,1024,32,16,right,wr,NA,NA
aar,7/13/2021,aar14,NA,5,fr_sucrose_10,2021_07_13_aar14,1024,32,16,left,wr,NA,NA
aar,7/13/2021,aar15,NA,5,fr_sucrose_10,2021_07_13_aar15,1024,32,16,right,wr,NA,NA
aar,7/13/2021,aar16,NA,5,fr_sucrose_10,2021_07_13_aar16,1024,32,16,left,wr,NA,NA
aar,7/14/2021,aar01,NA,6,fr_sucrose_10,2021_07_14_aar01,1024,32,16,right,wr,NA,NA
aar,7/14/2021,aar02,NA,6,fr_sucrose_10,2021_07_14_aar02,1024,32,16,left,wr,NA,NA
aar,7/14/2021,aar03,NA,6,fr_sucrose_10,2021_07_14_aar03,1024,32,16,right,wr,NA,NA
aar,7/14/2021,aar04,NA,6,fr_sucrose_10,2021_07_14_aar04,1024,32,16,left,wr,NA,NA
aar,7/14/2021,aar05,NA,6,fr_sucrose_10,2021_07_14_aar05,1024,32,16,right,wr,NA,NA
aar,7/14/2021,aar06,NA,6,fr_sucrose_10,2021_07_14_aar06,1024,32,16,left,wr,NA,NA
aar,7/14/2021,aar07,NA,6,fr_sucrose_10,2021_07_14_aar07,1024,32,16,right,wr,NA,NA
aar,7/14/2021,aar08,NA,6,fr_sucrose_10,2021_07_14_aar08,1024,32,16,left,wr,NA,NA
aar,7/14/2021,aar09,NA,6,fr_sucrose_10,2021_07_14_aar09,1024,32,16,right,wr,NA,NA
aar,7/14/2021,aar10,NA,6,fr_sucrose_10,2021_07_14_aar10,1024,32,16,left,wr,NA,NA
aar,7/14/2021,aar11,NA,6,fr_sucrose_10,2021_07_14_aar11,1024,32,16,right,wr,NA,NA
aar,7/14/2021,aar12,NA,6,fr_sucrose_10,2021_07_14_aar12,1024,32,16,left,wr,NA,NA
aar,7/14/2021,aar13,NA,6,fr_sucrose_10,2021_07_14_aar13,1024,32,16,right,wr,NA,NA
aar,7/14/2021,aar14,NA,6,fr_sucrose_10,2021_07_14_aar14,1024,32,16,left,wr,NA,NA
aar,7/14/2021,aar15,NA,6,fr_sucrose_10,2021_07_14_aar15,1024,32,16,right,wr,NA,NA
aar,7/14/2021,aar16,NA,6,fr_sucrose_10,2021_07_14_aar16,1024,32,16,left,wr,NA,NA
aar,7/15/2021,aar01,NA,7,fr_sucrose_10,2021_07_15_aar01,1024,32,16,right,wr,NA,NA
aar,7/15/2021,aar02,NA,7,fr_sucrose_10,2021_07_15_aar02,1024,32,16,left,wr,NA,NA
aar,7/15/2021,aar03,NA,7,fr_sucrose_10,2021_07_15_aar03,1024,32,16,right,wr,NA,NA
aar,7/15/2021,aar04,NA,7,fr_sucrose_10,2021_07_15_aar04,1024,32,16,left,wr,NA,NA
aar,7/15/2021,aar05,NA,7,fr_sucrose_10,2021_07_15_aar05,1024,32,16,right,wr,NA,NA
aar,7/15/2021,aar06,NA,7,fr_sucrose_10,2021_07_15_aar06,1024,32,16,left,wr,NA,NA
aar,7/15/2021,aar07,NA,7,fr_sucrose_10,2021_07_15_aar07,1024,32,16,right,wr,NA,NA
aar,7/15/2021,aar08,NA,7,fr_sucrose_10,2021_07_15_aar08,1024,32,16,left,wr,NA,NA
aar,7/15/2021,aar09,NA,7,fr_sucrose_10,2021_07_15_aar09,1024,32,16,right,wr,NA,NA
aar,7/15/2021,aar10,NA,7,fr_sucrose_10,2021_07_15_aar10,1024,32,16,left,wr,NA,NA
aar,7/15/2021,aar11,NA,7,fr_sucrose_10,2021_07_15_aar11,1024,32,16,right,wr,NA,NA
aar,7/15/2021,aar12,NA,7,fr_sucrose_10,2021_07_15_aar12,1024,32,16,left,wr,NA,NA
aar,7/15/2021,aar13,NA,7,fr_sucrose_10,2021_07_15_aar13,1024,32,16,right,wr,NA,NA
aar,7/15/2021,aar14,NA,7,fr_sucrose_10,2021_07_15_aar14,1024,32,16,left,wr,NA,NA
aar,7/15/2021,aar15,NA,7,fr_sucrose_10,2021_07_15_aar15,1024,32,16,right,wr,NA,NA
aar,7/15/2021,aar16,NA,7,fr_sucrose_10,2021_07_15_aar16,1024,32,16,left,wr,NA,NA
abb,4/22/2022,abb01,NA,9,multi_s,2022_04_22_abb01,NA,NA,NA,NA,fr,NA,NA
abb,4/22/2022,abb03,NA,9,multi_s,2022_04_22_abb03,NA,NA,NA,NA,wr,NA,NA
abb,4/22/2022,abb04,NA,9,multi_s,2022_04_22_abb04,NA,NA,NA,NA,fr,NA,NA
abb,4/22/2022,abb05,NA,9,multi_s,2022_04_22_abb05,NA,NA,NA,NA,wr,NA,NA
abb,4/22/2022,abb06,NA,9,multi_s,2022_04_22_abb06,NA,NA,NA,NA,fr,NA,NA
abb,4/25/2022,abb01,NA,10,multi_s,2022_04_25_abb01,NA,NA,NA,NA,fr,NA,NA
abb,4/25/2022,abb03,NA,10,multi_s,2022_04_25_abb03,NA,NA,NA,NA,wr,NA,NA
abb,4/25/2022,abb04,NA,10,multi_s,2022_04_25_abb04,NA,NA,NA,NA,fr,NA,NA
abb,4/25/2022,abb05,NA,10,multi_s,2022_04_25_abb05,NA,NA,NA,NA,wr,NA,NA
abb,4/25/2022,abb06,NA,10,multi_s,2022_04_25_abb06,NA,NA,NA,NA,fr,NA,NA
abb,4/26/2022,abb01,NA,11,multi_s,2022_04_26_abb01,NA,NA,NA,NA,fr,NA,NA
abb,4/26/2022,abb03,NA,11,multi_s,2022_04_26_abb03,NA,NA,NA,NA,wr,NA,NA
abb,4/26/2022,abb04,NA,11,multi_s,2022_04_26_abb04,NA,NA,NA,NA,fr,NA,NA
abb,4/26/2022,abb05,NA,11,multi_s,2022_04_26_abb05,NA,NA,NA,NA,wr,NA,NA
abb,4/26/2022,abb06,NA,11,multi_s,2022_04_26_abb06,NA,NA,NA,NA,fr,NA,NA
abb,4/27/2022,abb01,NA,12,multi_s,2022_04_27_abb01,NA,NA,NA,NA,fr,NA,NA
abb,4/27/2022,abb03,NA,12,multi_s,2022_04_27_abb03,NA,NA,NA,NA,wr,NA,NA
abb,4/27/2022,abb04,NA,12,multi_s,2022_04_27_abb04,NA,NA,NA,NA,fr,NA,NA
abb,4/27/2022,abb05,NA,12,multi_s,2022_04_27_abb05,NA,NA,NA,NA,wr,NA,NA
abb,4/27/2022,abb06,NA,12,multi_s,2022_04_27_abb06,NA,NA,NA,NA,fr,NA,NA
abb,4/28/2022,abb01,NA,13,multi_s,2022_04_28_abb01,NA,NA,NA,NA,fr,NA,NA
abb,4/28/2022,abb03,NA,13,multi_s,2022_04_28_abb03,NA,NA,NA,NA,wr,NA,NA
abb,4/28/2022,abb04,NA,13,multi_s,2022_04_28_abb04,NA,NA,NA,NA,fr,NA,NA
abb,4/28/2022,abb05,NA,13,multi_s,2022_04_28_abb05,NA,NA,NA,NA,wr,NA,NA
abb,4/28/2022,abb06,NA,13,multi_s,2022_04_28_abb06,NA,NA,NA,NA,fr,NA,NA
abb,5/2/2022,abb01,NA,14,multi_s,2022_05_02_abb01,NA,NA,NA,NA,wr,NA,NA
abb,5/2/2022,abb03,NA,14,multi_s,2022_05_02_abb03,NA,NA,NA,NA,fr,NA,NA
abb,5/2/2022,abb04,NA,14,multi_s,2022_05_02_abb04,NA,NA,NA,NA,wr,NA,NA
abb,5/2/2022,abb05,NA,14,multi_s,2022_05_02_abb05,NA,NA,NA,NA,fr,NA,NA
abb,5/2/2022,abb06,NA,14,multi_s,2022_05_02_abb06,NA,NA,NA,NA,wr,NA,NA
abb,5/3/2022,abb01,NA,15,multi_s,2022_05_03_abb01,NA,NA,NA,NA,wr,NA,NA
abb,5/3/2022,abb03,NA,15,multi_s,2022_05_03_abb03,NA,NA,NA,NA,fr,NA,NA
abb,5/3/2022,abb04,NA,15,multi_s,2022_05_03_abb04,NA,NA,NA,NA,wr,NA,NA
abb,5/3/2022,abb05,NA,15,multi_s,2022_05_03_abb05,NA,NA,NA,NA,fr,NA,NA
abb,5/3/2022,abb06,NA,15,multi_s,2022_05_03_abb06,NA,NA,NA,NA,wr,NA,NA
abb,5/4/2022,abb01,NA,16,multi_s,2022_05_04_abb01,NA,NA,NA,NA,wr,NA,NA
abb,5/4/2022,abb03,NA,16,multi_s,2022_05_04_abb03,NA,NA,NA,NA,fr,NA,NA
abb,5/4/2022,abb04,NA,16,multi_s,2022_05_04_abb04,NA,NA,NA,NA,wr,NA,NA
abb,5/4/2022,abb05,NA,16,multi_s,2022_05_04_abb05,NA,NA,NA,NA,fr,NA,NA
abb,5/4/2022,abb06,NA,16,multi_s,2022_05_04_abb06,NA,NA,NA,NA,wr,NA,NA
abb,5/5/2022,abb01,NA,17,multi_s,2022_05_05_abb01,NA,NA,NA,NA,wr,NA,NA
abb,5/5/2022,abb03,NA,17,multi_s,2022_05_05_abb03,NA,NA,NA,NA,fr,NA,NA
abb,5/5/2022,abb04,NA,17,multi_s,2022_05_05_abb04,NA,NA,NA,NA,wr,NA,NA
abb,5/5/2022,abb05,NA,17,multi_s,2022_05_05_abb05,NA,NA,NA,NA,fr,NA,NA
abb,5/5/2022,abb06,NA,17,multi_s,2022_05_05_abb06,NA,NA,NA,NA,wr,NA,NA
abb,5/6/2022,abb01,NA,18,multi_s,2022_05_06_abb01,NA,NA,NA,NA,wr,NA,NA
abb,5/6/2022,abb03,NA,18,multi_s,2022_05_06_abb03,NA,NA,NA,NA,fr,NA,NA
abb,5/6/2022,abb04,NA,18,multi_s,2022_05_06_abb04,NA,NA,NA,NA,wr,NA,NA
